sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S005-075	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-075_S75_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-075_S75_L001_R2_001.fastq.gz	LK16S005-075	LK16S005-075	P1	1.F24.3	Full	Full-24	F-24	Full	24 hr	24	Untreated
LK16S005-076	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-076_S76_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-076_S76_L001_R2_001.fastq.gz	LK16S005-076	LK16S005-076	P1	1.F24p.1	Fullp	Full-24-PMAxx	Fp-24	Full	24 hr	24	PMAxx
LK16S005-077	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-077_S77_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-077_S77_L001_R2_001.fastq.gz	LK16S005-077	LK16S005-077	P1	1.F24p.2	Fullp	Full-24-PMAxx	Fp-24	Full	24 hr	24	PMAxx
LK16S005-078	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-078_S78_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-078_S78_L001_R2_001.fastq.gz	LK16S005-078	LK16S005-078	P1	1.F24p.3	Fullp	Full-24-PMAxx	Fp-24	Full	24 hr	24	PMAxx
LK16S005-079	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-079_S79_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-079_S79_L001_R2_001.fastq.gz	LK16S005-079	LK16S005-079	P1	1.W48.1	Water	Water-48	W-48	Water	48 hr	48	Untreated
LK16S005-080	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-080_S80_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-080_S80_L001_R2_001.fastq.gz	LK16S005-080	LK16S005-080	P1	1.W48.2	Water	Water-48	W-48	Water	48 hr	48	Untreated
LK16S005-081	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-081_S81_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-081_S81_L001_R2_001.fastq.gz	LK16S005-081	LK16S005-081	P1	1.W48.3	Water	Water-48	W-48	Water	48 hr	48	Untreated
LK16S005-082	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-082_S82_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-082_S82_L001_R2_001.fastq.gz	LK16S005-082	LK16S005-082	P1	1.W48p.1	Waterp	Water-48-PMAxx	Wp-48	Water	48 hr	48	PMAxx
LK16S005-083	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-083_S83_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-083_S83_L001_R2_001.fastq.gz	LK16S005-083	LK16S005-083	P1	1.W48p.2	Waterp	Water-48-PMAxx	Wp-48	Water	48 hr	48	PMAxx
LK16S005-084	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-084_S84_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-084_S84_L001_R2_001.fastq.gz	LK16S005-084	LK16S005-084	P1	1.W48p.3	Waterp	Water-48-PMAxx	Wp-48	Water	48 hr	48	PMAxx
LK16S005-085	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-085_S85_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-085_S85_L001_R2_001.fastq.gz	LK16S005-085	LK16S005-085	P1	1.C48.1	CHG	CHG-48	C-48	CHG	48 hr	48	Untreated
LK16S005-086	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-086_S86_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-086_S86_L001_R2_001.fastq.gz	LK16S005-086	LK16S005-086	P1	1.C48.2	CHG	CHG-48	C-48	CHG	48 hr	48	Untreated
LK16S005-087	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-087_S87_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-087_S87_L001_R2_001.fastq.gz	LK16S005-087	LK16S005-087	P1	1.C48.3	CHG	CHG-48	C-48	CHG	48 hr	48	Untreated
LK16S005-088	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-088_S88_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-088_S88_L001_R2_001.fastq.gz	LK16S005-088	LK16S005-088	P1	1.C48p.1	CHGp	CHG-48-PMAxx	Cp-48	CHG	48 hr	48	PMAxx
LK16S005-089	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-089_S89_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-089_S89_L001_R2_001.fastq.gz	LK16S005-089	LK16S005-089	P1	1.C48p.2	CHGp	CHG-48-PMAxx	Cp-48	CHG	48 hr	48	PMAxx
LK16S005-090	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-090_S90_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-090_S90_L001_R2_001.fastq.gz	LK16S005-090	LK16S005-090	P1	1.C48p.3	CHGp	CHG-48-PMAxx	Cp-48	CHG	48 hr	48	PMAxx
LK16S005-091	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-091_S91_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-091_S91_L001_R2_001.fastq.gz	LK16S005-091	LK16S005-091	P1	1.F48.1	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S005-092	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-092_S92_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-092_S92_L001_R2_001.fastq.gz	LK16S005-092	LK16S005-092	P1	1.F48.2	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S005-093	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-093_S93_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-093_S93_L001_R2_001.fastq.gz	LK16S005-093	LK16S005-093	P1	1.F48.3	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S005-094	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-094_S94_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-094_S94_L001_R2_001.fastq.gz	LK16S005-094	LK16S005-094	P1	1.F48p.1	Fullp	Full-48-PMAxx	Fp-48	Full	48 hr	48	PMAxx
LK16S005-095	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-095_S95_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-095_S95_L001_R2_001.fastq.gz	LK16S005-095	LK16S005-095	P1	1.F48p.2	Fullp	Full-48-PMAxx	Fp-48	Full	48 hr	48	PMAxx
LK16S005-096	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-096_S96_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-096_S96_L001_R2_001.fastq.gz	LK16S005-096	LK16S005-096	P1	1.F48p.3	Fullp	Full-48-PMAxx	Fp-48	Full	48 hr	48	PMAxx
LK16S005-097	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-097_S97_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-097_S97_L001_R2_001.fastq.gz	LK16S005-097	LK16S005-097	P1	NegEx	NegEx	NegEx	NegEx	NegEx	NegEx	NegEx	NegEx
LK16S005-098	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-098_S98_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-098_S98_L001_R2_001.fastq.gz	LK16S005-098	LK16S005-098	P1	Pos(201.Col)	Pos(20Col)	Pos(20Col)	Pos(20Col)	Pos(20Col)	Pos(20Col)	Pos(20Col)	Pos(20Col)
