Pig,Plate,WellPosition,SampleName,Group,Group2,Replicate,Treatment,Treatment2,Timepoint,Time ,CT,CtMean,CtSD,Quantity,QuantityMean,QuantitySD,TotalBacteria,TotalMeanBacteria,WellPositionP,SampleNameP,CTp,CtMeanP,CtPSD,QuantityP,QuantityMeanP,QuantitySDP,ViableBacteria,ViableMeanBacteria,DeltaCT,PercentLive
1,Plate2,E10,C-6-C,Chloroprep-6hr,Chloroprep-6hr,C,Chloroprep,Chloroprep,6hr,6.00,20.99,20.99,0.03,58.35,58.54,1.26,350118.00,351252.00,E13,Cp-6-C,26.30,26.23,0.06,0.68,0.73,0.04,4104.00,4356.00,5.24,0.01
1,Plate2,E11,C-6-C,Chloroprep-6hr,Chloroprep-6hr,C,Chloroprep,Chloroprep,6hr,6.00,20.96,20.99,0.03,59.89,58.54,1.26,359310.00,351252.00,E14,Cp-6-C,26.20,26.23,0.06,0.74,0.73,0.04,4464.00,4356.00,5.24,0.01
1,Plate2,E12,C-6-C,Chloroprep-6hr,Chloroprep-6hr,C,Chloroprep,Chloroprep,6hr,6.00,21.01,20.99,0.03,57.39,58.54,1.26,344334.00,351252.00,E15,Cp-6-C,26.19,26.23,0.06,0.75,0.73,0.04,4500.00,4356.00,5.24,0.01
1,Plate2,C17,F-6-A,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.17,24.17,0.00,4.08,4.07,0.01,24462.00,24432.00,C20,Fp-6-A,26.30,26.32,0.06,0.68,0.67,0.03,4086.00,4020.00,2.15,0.16
1,Plate2,C19,F-6-A,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.17,24.17,0.00,4.07,4.07,0.01,24396.00,24432.00,C21,Fp-6-A,26.28,26.32,0.06,0.70,0.67,0.03,4170.00,4020.00,2.15,0.16
1,Plate2,,,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,,,,,,,,,C22,Fp-6-A,26.39,26.32,0.06,0.63,0.67,0.03,3798.00,4020.00,,
1,Plate2,D18,F-6-B,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.38,24.58,0.18,2.83,2.38,0.40,16992.00,14256.00,C11,Fp-6-B,25.96,25.90,0.08,0.66,0.71,0.05,3978.00,4230.00,1.32,0.30
1,Plate2,D19,F-6-B,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.66,24.58,0.18,2.18,2.38,0.40,13104.00,14256.00,C12,Fp-6-B,25.81,25.90,0.08,0.76,0.71,0.05,4554.00,4230.00,1.32,0.30
1,Plate2,D20,F-6-B,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.70,24.58,0.18,2.11,2.38,0.40,12678.00,14256.00,C13,Fp-6-B,25.91,25.90,0.08,0.70,0.71,0.05,4170.00,4230.00,1.32,0.30
1,Plate2,E17,F-6-C,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,24.99,25.07,0.11,2.05,1.92,0.18,12288.00,11496.00,E20,Fp-6-C,26.43,26.40,0.03,0.61,0.63,0.01,3666.00,3762.00,1.33,0.33
1,Plate2,E18,F-6-C,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,25.20,25.07,0.11,1.72,1.92,0.18,10302.00,11496.00,E21,Fp-6-C,26.39,26.40,0.03,0.63,0.63,0.01,3804.00,3762.00,1.33,0.33
1,Plate2,E19,F-6-C,CHG Bath (x2) + Chloroprep-6hr,CHG Bath (x2) + Chloroprep-6hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,6hr,6.00,25.03,25.07,0.11,1.98,1.92,0.18,11898.00,11496.00,E22,Fp-6-C,26.38,26.40,0.03,0.64,0.63,0.01,3816.00,3762.00,1.33,0.33
1,Plate2,F3,W-12-A,Water-12hr,Water-12hr,A,Water,Water,12hr,12.00,15.21,15.26,0.07,7443.37,7091.70,410.44,44660220.00,42550200.00,F6,Wp-12-A,16.58,16.77,0.16,2350.49,2024.22,282.56,14102940.00,12145320.00,1.50,0.29
1,Plate2,F4,W-12-A,Water-12hr,Water-12hr,A,Water,Water,12hr,12.00,15.34,15.26,0.07,6640.72,7091.70,410.44,39844320.00,42550200.00,F7,Wp-12-A,16.86,16.77,0.16,1862.69,2024.22,282.56,11176140.00,12145320.00,1.50,0.29
1,Plate2,F5,W-12-A,Water-12hr,Water-12hr,A,Water,Water,12hr,12.00,15.25,15.26,0.07,7191.00,7091.70,410.44,43146000.00,42550200.00,F8,Wp-12-A,16.86,16.77,0.16,1859.48,2024.22,282.56,11156880.00,12145320.00,1.50,0.29
1,Plate2,G3,W-12-B,Water-12hr,Water-12hr,B,Water,Water,12hr,12.00,14.66,14.77,0.13,11709.59,10770.94,1131.33,70257540.00,64625640.00,G6,Wp-12-B,15.97,15.89,0.09,3913.25,4186.64,328.77,23479500.00,25119840.00,1.13,0.39
1,Plate2,G4,W-12-B,Water-12hr,Water-12hr,B,Water,Water,12hr,12.00,14.73,14.77,0.13,11088.43,10770.94,1131.33,66530580.00,64625640.00,G7,Wp-12-B,15.92,15.89,0.09,4095.22,4186.64,328.77,24571320.00,25119840.00,1.13,0.39
1,Plate2,G5,W-12-B,Water-12hr,Water-12hr,B,Water,Water,12hr,12.00,14.91,14.77,0.13,9514.79,10770.94,1131.33,57088740.00,64625640.00,G8,Wp-12-B,15.79,15.89,0.09,4551.45,4186.64,328.77,27308700.00,25119840.00,1.13,0.39
1,Plate2,H3,W-12-C,Water-12hr,Water-12hr,C,Water,Water,12hr,12.00,14.36,14.51,0.16,15060.18,13397.05,1773.08,90361080.00,80382300.00,H6,Wp-12-C,15.09,15.35,0.23,8228.31,6661.80,1360.40,49369860.00,39970800.00,0.84,0.50
1,Plate2,H4,W-12-C,Water-12hr,Water-12hr,C,Water,Water,12hr,12.00,14.49,14.51,0.16,13599.55,13397.05,1773.08,81597300.00,80382300.00,H7,Wp-12-C,15.47,15.35,0.23,5979.71,6661.80,1360.40,35878260.00,39970800.00,0.84,0.50
1,Plate2,H5,W-12-C,Water-12hr,Water-12hr,C,Water,Water,12hr,12.00,14.68,14.51,0.16,11531.41,13397.05,1773.08,69188460.00,80382300.00,H8,Wp-12-C,15.51,15.35,0.23,5777.40,6661.80,1360.40,34664400.00,39970800.00,0.84,0.50
1,Plate2,F10,C-12-A,Chloroprep-12hr,Chloroprep-12hr,A,Chloroprep,Chloroprep,12hr,12.00,21.66,21.29,0.38,33.31,46.97,15.09,199842.00,281808.00,F13,Cp-12-A,25.49,25.67,0.16,1.34,1.17,0.16,8046.00,6996.00,4.38,0.02
1,Plate2,F11,C-12-A,Chloroprep-12hr,Chloroprep-12hr,A,Chloroprep,Chloroprep,12hr,12.00,21.32,21.29,0.38,44.43,46.97,15.09,266556.00,281808.00,F14,Cp-12-A,25.79,25.67,0.16,1.04,1.17,0.16,6264.00,6996.00,4.38,0.02
1,Plate2,F12,C-12-A,Chloroprep-12hr,Chloroprep-12hr,A,Chloroprep,Chloroprep,12hr,12.00,20.90,21.29,0.38,63.17,46.97,15.09,379026.00,281808.00,F15,Cp-12-A,25.72,25.67,0.16,1.11,1.17,0.16,6672.00,6996.00,4.38,0.02
1,Plate2,G10,C-12-B,Chloroprep-12hr,Chloroprep-12hr,B,Chloroprep,Chloroprep,12hr,12.00,22.22,22.24,0.11,20.79,20.54,1.84,124728.00,123258.00,G13,Cp-12-B,26.39,26.46,0.10,0.63,0.60,0.05,3786.00,3588.00,4.22,0.03
1,Plate2,G11,C-12-B,Chloroprep-12hr,Chloroprep-12hr,B,Chloroprep,Chloroprep,12hr,12.00,22.14,22.24,0.11,22.25,20.54,1.84,133500.00,123258.00,G14,Cp-12-B,26.57,26.46,0.10,0.54,0.60,0.05,3258.00,3588.00,4.22,0.03
1,Plate2,G12,C-12-B,Chloroprep-12hr,Chloroprep-12hr,B,Chloroprep,Chloroprep,12hr,12.00,22.36,22.24,0.11,18.59,20.54,1.84,111552.00,123258.00,G15,Cp-12-B,26.41,26.46,0.10,0.62,0.60,0.05,3714.00,3588.00,4.22,0.03
1,Plate2,H10,C-12-C,Chloroprep-12hr,Chloroprep-12hr,C,Chloroprep,Chloroprep,12hr,12.00,21.06,21.55,0.50,55.23,38.74,15.64,331350.00,232452.00,H13,Cp-12-C,26.25,26.26,0.07,0.71,0.71,0.04,4248.00,4236.00,4.71,0.02
1,Plate2,H11,C-12-C,Chloroprep-12hr,Chloroprep-12hr,C,Chloroprep,Chloroprep,12hr,12.00,22.05,21.55,0.50,24.11,38.74,15.64,144654.00,232452.00,H14,Cp-12-C,26.33,26.26,0.07,0.67,0.71,0.04,3990.00,4236.00,4.71,0.02
1,Plate2,H12,C-12-C,Chloroprep-12hr,Chloroprep-12hr,C,Chloroprep,Chloroprep,12hr,12.00,21.54,21.55,0.50,36.89,38.74,15.64,221358.00,232452.00,H15,Cp-12-C,26.19,26.26,0.07,0.74,0.71,0.04,4464.00,4236.00,4.71,0.02
1,Plate2,F17,F-12-A,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,25.34,25.11,0.23,1.53,1.88,0.35,9162.00,11256.00,F20,Fp-12-A,26.48,26.50,0.02,0.59,0.57,0.01,3516.00,3444.00,1.40,0.31
1,Plate2,F18,F-12-A,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.88,25.11,0.23,2.23,1.88,0.35,13404.00,11256.00,F21,Fp-12-A,26.53,26.50,0.02,0.56,0.57,0.01,3378.00,3444.00,1.40,0.31
1,Plate2,F19,F-12-A,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,25.10,25.11,0.23,1.87,1.88,0.35,11214.00,11256.00,F22,Fp-12-A,26.50,26.50,0.02,0.57,0.57,0.01,3444.00,3444.00,1.40,0.31
1,Plate2,G17,F-12-B,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.97,24.93,0.08,2.08,2.15,0.15,12486.00,12882.00,G20,Fp-12-B,26.49,26.52,0.03,0.58,0.57,0.02,3492.00,3414.00,1.58,0.27
1,Plate2,G18,F-12-B,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.84,24.93,0.08,2.32,2.15,0.15,13932.00,12882.00,G21,Fp-12-B,26.55,26.52,0.03,0.55,0.57,0.02,3312.00,3414.00,1.58,0.27
1,Plate2,G19,F-12-B,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.99,24.93,0.08,2.04,2.15,0.15,12234.00,12882.00,G22,Fp-12-B,26.51,26.52,0.03,0.57,0.57,0.02,3438.00,3414.00,1.58,0.27
1,Plate2,H17,F-12-C,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.73,24.62,0.25,2.54,2.83,0.62,15216.00,16986.00,H20,Fp-12-C,26.46,26.48,0.06,0.60,0.59,0.03,3582.00,3510.00,1.86,0.21
1,Plate2,H18,F-12-C,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.33,24.62,0.25,3.54,2.83,0.62,21228.00,16986.00,H21,Fp-12-C,26.43,26.48,0.06,0.61,0.59,0.03,3654.00,3510.00,1.86,0.21
1,Plate2,H19,F-12-C,CHG Bath (x2) + Chloroprep-12hr,CHG Bath (x2) + Chloroprep-12hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,12hr,12.00,24.79,24.62,0.25,2.42,2.83,0.62,14520.00,16986.00,H22,Fp-12-C,26.56,26.48,0.06,0.55,0.59,0.03,3300.00,3510.00,1.86,0.21
1,Plate2,I3,W-48-A,Water-48hr,Water-48hr,A,Water,Water,48hr,48.00,12.64,12.70,0.08,64055.00,61017.91,4165.37,384330000.00,366107460.00,I6,Wp-48-A,12.49,12.57,0.09,72479.53,67629.48,5284.14,434877180.00,405776880.00,-0.12,1.11
1,Plate2,I4,W-48-A,Water-48hr,Water-48hr,A,Water,Water,48hr,48.00,12.79,12.70,0.08,56269.44,61017.91,4165.37,337616640.00,366107460.00,I7,Wp-48-A,12.56,12.57,0.09,68410.70,67629.48,5284.14,410464200.00,405776880.00,-0.12,1.11
1,Plate2,I5,W-48-A,Water-48hr,Water-48hr,A,Water,Water,48hr,48.00,12.66,12.70,0.08,62729.28,61017.91,4165.37,376375680.00,366107460.00,I8,Wp-48-A,12.68,12.57,0.09,61998.23,67629.48,5284.14,371989380.00,405776880.00,-0.12,1.11
1,Plate2,J3,W-48-B,Water-48hr,Water-48hr,B,Water,Water,48hr,48.00,13.11,13.14,0.05,43064.76,42079.70,1701.53,258388560.00,252478200.00,J6,Wp-48-B,12.97,13.07,0.13,48574.16,44619.92,4851.46,291444960.00,267719520.00,-0.07,1.06
1,Plate2,J4,W-48-B,Water-48hr,Water-48hr,B,Water,Water,48hr,48.00,13.11,13.14,0.05,43059.39,42079.70,1701.53,258356340.00,252478200.00,J7,Wp-48-B,13.22,13.07,0.13,39206.28,44619.92,4851.46,235237680.00,267719520.00,-0.07,1.06
1,Plate2,J5,W-48-B,Water-48hr,Water-48hr,B,Water,Water,48hr,48.00,13.20,13.14,0.05,40114.94,42079.70,1701.53,240689640.00,252478200.00,J8,Wp-48-B,13.03,13.07,0.13,46079.32,44619.92,4851.46,276475920.00,267719520.00,-0.07,1.06
1,Plate2,K3,W-48-C,Water-48hr,Water-48hr,C,Water,Water,48hr,48.00,13.54,13.60,0.05,29969.60,28686.09,1259.23,179817600.00,172116540.00,K6,Wp-48-C,13.74,13.67,0.09,25334.12,26975.85,1963.59,152004720.00,161855100.00,0.07,0.94
1,Plate2,K4,W-48-C,Water-48hr,Water-48hr,C,Water,Water,48hr,48.00,13.60,13.60,0.05,28636.03,28686.09,1259.23,171816180.00,172116540.00,K7,Wp-48-C,13.69,13.67,0.09,26442.37,26975.85,1963.59,158654220.00,161855100.00,0.07,0.94
1,Plate2,K5,W-48-C,Water-48hr,Water-48hr,C,Water,Water,48hr,48.00,13.65,13.60,0.05,27452.63,28686.09,1259.23,164715780.00,172116540.00,K8,Wp-48-C,13.58,13.67,0.09,29151.05,26975.85,1963.59,174906300.00,161855100.00,0.07,0.94
1,Plate2,I10,C-48-A,Chloroprep-48hr,Chloroprep-48hr,A,Chloroprep,Chloroprep,48hr,48.00,14.71,14.98,0.31,11265.47,9166.13,2246.09,67592820.00,54996780.00,I13,Cp-48-A,14.80,14.93,0.28,10458.89,9557.24,2073.82,62753340.00,57343440.00,-0.05,1.04
1,Plate2,I11,C-48-A,Chloroprep-48hr,Chloroprep-48hr,A,Chloroprep,Chloroprep,48hr,48.00,15.31,14.98,0.31,6797.56,9166.13,2246.09,40785360.00,54996780.00,I14,Cp-48-A,14.74,14.93,0.28,11027.61,9557.24,2073.82,66165660.00,57343440.00,-0.05,1.04
1,Plate2,I12,C-48-A,Chloroprep-48hr,Chloroprep-48hr,A,Chloroprep,Chloroprep,48hr,48.00,14.92,14.98,0.31,9435.36,9166.13,2246.09,56612160.00,54996780.00,I15,Cp-48-A,15.25,14.93,0.28,7185.22,9557.24,2073.82,43111320.00,57343440.00,-0.05,1.04
1,Plate2,J10,C-48-B,Chloroprep-48hr,Chloroprep-48hr,B,Chloroprep,Chloroprep,48hr,48.00,13.81,13.87,0.10,24063.22,22854.27,1787.54,144379320.00,137125620.00,J13,Cp-48-B,13.15,12.98,0.24,41778.11,48833.14,10436.21,250668660.00,292998840.00,-0.89,2.14
1,Plate2,J11,C-48-B,Chloroprep-48hr,Chloroprep-48hr,B,Chloroprep,Chloroprep,48hr,48.00,13.82,13.87,0.10,23698.63,22854.27,1787.54,142191780.00,137125620.00,J14,Cp-48-B,13.09,12.98,0.24,43899.91,48833.14,10436.21,263399460.00,292998840.00,-0.89,2.14
1,Plate2,J12,C-48-B,Chloroprep-48hr,Chloroprep-48hr,B,Chloroprep,Chloroprep,48hr,48.00,13.98,13.87,0.10,20800.95,22854.27,1787.54,124805700.00,137125620.00,J15,Cp-48-B,12.70,12.98,0.24,60821.41,48833.14,10436.21,364928460.00,292998840.00,-0.89,2.14
1,Plate2,K10,C-48-C,Chloroprep-48hr,Chloroprep-48hr,C,Chloroprep,Chloroprep,48hr,48.00,15.28,15.28,0.01,7018.58,6984.96,81.31,42111480.00,41909760.00,K13,Cp-48-C,15.15,15.21,0.11,7789.54,7438.77,639.68,46737240.00,44632620.00,-0.07,1.06
1,Plate2,K11,C-48-C,Chloroprep-48hr,Chloroprep-48hr,C,Chloroprep,Chloroprep,48hr,48.00,15.27,15.28,0.01,7044.07,6984.96,81.31,42264420.00,41909760.00,K14,Cp-48-C,15.15,15.21,0.11,7826.32,7438.77,639.68,46957920.00,44632620.00,-0.07,1.06
1,Plate2,K12,C-48-C,Chloroprep-48hr,Chloroprep-48hr,C,Chloroprep,Chloroprep,48hr,48.00,15.30,15.28,0.01,6892.23,6984.96,81.31,41353380.00,41909760.00,K15,Cp-48-C,15.33,15.21,0.11,6700.44,7438.77,639.68,40202640.00,44632620.00,-0.07,1.06
1,Plate2,I17,F-48-A,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,16.02,15.77,0.23,5916.73,7565.98,1482.78,35500380.00,45395880.00,I11,Fp-48-A,15.93,15.90,0.08,6431.24,6646.81,494.03,38587440.00,39880860.00,0.13,0.88
1,Plate2,I18,F-48-A,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,15.59,15.77,0.23,8788.85,7565.98,1482.78,52733100.00,45395880.00,I12,Fp-48-A,15.81,15.90,0.08,7211.99,6646.81,494.03,43271940.00,39880860.00,0.13,0.88
1,Plate2,I19,F-48-A,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,A,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,15.69,15.77,0.23,7992.36,7565.98,1482.78,47954160.00,45395880.00,I13,Fp-48-A,15.96,15.90,0.08,6297.20,6646.81,494.03,37783200.00,39880860.00,0.13,0.88
1,Plate2,J17,F-48-B,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,13.71,13.63,0.08,49122.48,52800.01,3611.88,294734880.00,316800060.00,J11,Fp-48-B,13.63,13.70,0.10,52885.54,49674.58,4454.90,317313240.00,298047480.00,0.07,0.94
1,Plate2,J18,F-48-B,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,13.56,13.63,0.08,56342.45,52800.01,3611.88,338054700.00,316800060.00,J12,Fp-48-B,13.66,13.70,0.10,51549.54,49674.58,4454.90,309297240.00,298047480.00,0.07,0.94
1,Plate2,J19,F-48-B,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,B,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,13.63,13.63,0.08,52935.09,52800.01,3611.88,317610540.00,316800060.00,J13,Fp-48-B,13.82,13.70,0.10,44588.66,49674.58,4454.90,267531960.00,298047480.00,0.07,0.94
1,Plate2,K17,F-48-C,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,15.46,15.50,0.08,6004.83,5813.29,3358.93,36028980.00,34879740.00,K11,Fp-48-C,15.33,15.44,0.10,6706.56,6124.84,514.83,40239360.00,36749040.00,-0.06,1.05
1,Plate2,K18,F-48-C,CHG Bath (x2) + Chloroprep-48hr,CHG Bath (x2) + Chloroprep-48hr,C,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,48hr,48.00,15.54,15.50,0.08,5621.75,5813.29,3358.93,33730500.00,34879740.00,K12,Fp-48-C,15.52,15.44,0.10,5727.92,6124.84,514.83,34367520.00,36749040.00,-0.06,1.05
2,Plate-3,A6,W-B-1,Water-Baseline,Baseline,1,Water,Baseline,Baseline,-12.00,27.67,27.83,0.29,0.39,0.35,0.07,2356.56,2081.78,B6,Wp-B-1,27.99,28.36,0.36,0.31,0.23,0.07,1841.09,1376.19,0.53,0.66
2,Plate-3,A7,W-B-1,Water-Baseline,Baseline,1,Water,Baseline,Baseline,-12.00,27.66,27.83,0.29,0.40,0.35,0.07,2377.91,2081.78,B7,Wp-B-1,28.40,28.36,0.36,0.22,0.23,0.07,1334.77,1376.19,0.53,0.66
2,Plate-3,A8,W-B-1,Water-Baseline,Baseline,1,Water,Baseline,Baseline,-12.00,28.16,27.83,0.29,0.27,0.35,0.07,1610.03,2081.78,B8,Wp-B-1,28.70,28.36,0.36,0.18,0.23,0.07,1060.60,1376.19,0.53,0.66
2,Plate-3,C6,W-B-2,Water-Baseline,Baseline,2,Water,Baseline,Baseline,-12.00,26.65,26.94,0.41,0.87,0.69,0.22,5204.13,4162.30,D6,Wp-B-2,27.34,27.65,0.44,0.51,0.40,0.14,3054.80,2398.76,0.71,0.58
2,Plate-3,C7,W-B-2,Water-Baseline,Baseline,2,Water,Baseline,Baseline,-12.00,27.23,26.94,0.41,0.55,0.69,0.22,3329.04,4162.30,D7,Wp-B-2,27.96,27.65,0.44,0.31,0.40,0.14,1883.61,2398.76,0.71,0.58
2,Plate-3,M6,W-0-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,18.14,18.58,0.39,660.40,466.82,155.31,3962395.56,2800920.28,N6,Wp-0-1,18.87,18.87,0.22,373.56,373.43,64.67,2241365.36,2240596.88,0.29,0.80
2,Plate-3,M7,W-0-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,18.86,18.58,0.39,376.90,466.82,155.31,2261383.39,2800920.28,N7,Wp-0-1,18.65,18.87,0.22,443.51,373.43,64.67,2661069.67,2240596.88,0.29,0.80
2,Plate-3,M8,W-0-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,18.75,18.58,0.39,408.71,466.82,155.31,2452285.35,2800920.28,N8,Wp-0-1,19.09,18.87,0.22,314.32,373.43,64.67,1885915.72,2240596.88,0.29,0.80
2,Plate-3,O6,W-0-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,18.31,18.81,0.67,577.29,391.51,186.80,3463742.18,2349047.89,P6,Wp-0-2,18.42,19.02,0.64,531.24,332.72,167.48,3187464.65,1996324.60,0.21,0.85
2,Plate-3,O7,W-0-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,18.54,18.81,0.67,480.43,391.51,186.80,2882584.22,2349047.89,P7,Wp-0-2,18.94,19.02,0.64,352.79,332.72,167.48,2116746.22,1996324.60,0.21,0.85
2,Plate-3,O8,W-0-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,19.57,18.81,0.67,216.37,391.51,186.80,1298216.49,2349047.89,P8,Wp-0-2,19.69,19.02,0.64,196.53,332.72,167.48,1179180.24,1996324.60,0.21,0.85
2,Plate-3,A9,W-0-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,19.27,19.33,0.17,272.42,261.35,33.92,1634524.59,1568090.23,A12,Wp-0-3,19.33,19.37,0.04,260.12,252.05,7.86,1560712.72,1512282.87,0.05,0.96
2,Plate-3,A10,W-0-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,19.19,19.33,0.17,290.98,261.35,33.92,1745879.52,1568090.23,A13,Wp-0-3,19.41,19.37,0.04,244.40,252.05,7.86,1466415.99,1512282.87,0.05,0.96
2,Plate-3,A11,W-0-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,19.52,19.33,0.17,225.19,261.35,33.92,1351159.99,1568090.23,A14,Wp-0-3,19.37,19.37,0.04,251.87,252.05,7.86,1511195.48,1512282.87,0.05,0.96
2,Plate-3,H9,W-6-1,Water-6hr,Water-6hr,1,Water,Water,6hr,6.00,14.85,14.91,0.06,8551.43,8125.74,375.77,51308572.09,48754447.17,H12,Wp-6-1,15.07,15.25,0.20,7182.24,6270.70,961.84,43093427.37,37624216.55,0.33,0.77
2,Plate-3,H10,W-6-1,Water-6hr,Water-6hr,1,Water,Water,6hr,6.00,14.96,14.91,0.06,7827.00,8125.74,375.77,46962020.92,48754447.17,H13,Wp-6-1,15.20,15.25,0.20,6498.25,6270.70,961.84,38989473.92,37624216.55,0.33,0.77
2,Plate-3,H11,W-6-1,Water-6hr,Water-6hr,1,Water,Water,6hr,6.00,14.93,14.91,0.06,8015.94,8125.74,375.77,48095662.94,48754447.17,H14,Wp-6-1,15.47,15.25,0.20,5283.15,6270.70,961.84,31698891.54,37624216.55,0.33,0.77
2,Plate-3,A15,W-6-2,Water-6hr,Water-6hr,2,Water,Water,6hr,6.00,15.43,15.46,0.13,5458.92,5296.38,523.55,32753525.00,31778256.96,A18,Wp-6-2,15.10,15.79,0.60,7050.10,4112.49,2260.61,42300626.10,24674968.05,0.32,0.78
2,Plate-3,A16,W-6-2,Water-6hr,Water-6hr,2,Water,Water,6hr,6.00,15.36,15.46,0.13,5749.93,5296.38,523.55,34499598.90,31778256.96,A19,Wp-6-2,16.20,15.79,0.60,2977.51,4112.49,2260.61,17865055.93,24674968.05,0.32,0.78
2,Plate-3,A17,W-6-2,Water-6hr,Water-6hr,2,Water,Water,6hr,6.00,15.61,15.46,0.13,4733.33,5296.38,523.55,28399983.97,31778256.96,A20,Wp-6-2,16.07,15.79,0.60,3313.35,4112.49,2260.61,19880127.98,24674968.05,0.32,0.78
2,Plate-3,B15,W-6-3,Water-6hr,Water-6hr,3,Water,Water,6hr,6.00,15.27,16.00,0.75,6179.98,3501.59,2147.22,37079909.13,21009559.96,B18,Wp-6-3,16.01,16.09,0.09,3473.82,3261.87,216.42,20842927.21,19571249.48,0.09,0.93
